Match_ID,Match_Date,Match,Winner,Loser,WinLoss,Championship_Match,Promotion,Match_Type,Stipulation,Event,Event_Name,Event_Type,WinChampionship,LoseChampionship,SinglesChampionshipHeld,TagChampionshipHeld,IsTitleMatch,Venue,CityTown,StateProvince,Country
1,1999-11-05,The Prototype vs Jobbers-R-Us (Funky Billy Kim & Troubled Youth),The Prototype,Jobbers-R-Us (Funky Billy Kim & Troubled Youth),Win,Exhibition,UPW,1 vs 2 Handicap Match,No Stipulation,UPW Entertainment Overload,UPW Entertainment Overload,Non-Televised,No,No,No Championship,No Championship,No,Galaxy Theatre,Santa Ana,California,United States
2,1999-12-02,Bad Boy Basil vs The Prototype,Bad Boy Basil,The Prototype,Loss,Exhibition,UPW,Singles,No Stipulation,UPW Entertainment Overload,UPW Entertainment Overload,Non-Televised,No,No,No Championship,No Championship,No,The Roxy,West Hollywood,California,United States
4,1999-12-08,The Prototype vs Dirty Dave Sanchez,The Prototype,Dirty Dave Sanchez,Win,Exhibition,UPW,Singles,No Stipulation,UPW Entertainment Overload,UPW Entertainment Overload,Non-Televised,No,No,No Championship,No Championship,No,Galaxy Theatre,Santa Ana,California,United States
3,1999-12-08,Bad Boy Basil vs ??? and Andy The Enterprise and Dirty Dave Sanchez and Funky Billy Kim and Hardkore Kidd and Justin Sane and Lil Cholo and Little Genie and Logan X and Shane Ballard and Shannon Ballard and Smelly and The Main Man and The Prodigy and The Prototype and Troubled Youth and Who's Your Daddy Dempsey,Bad Boy Basil,??? and Andy The Enterprise and Dirty Dave Sanchez and Funky Billy Kim and Hardkore Kidd and Justin Sane and Lil Cholo and Little Genie and Logan X and Shane Ballard and Shannon Ballard and Smelly and The Main Man and The Prodigy and The Prototype and Troubled Youth and Who's Your Daddy Dempsey,Win,Contendership,UPW,Battle Royal,Battle Royal ,UPW Entertainment Overload,UPW Entertainment Overload,Non-Televised,No,No,No Championship,No Championship,No,Galaxy Theatre,Santa Ana,California,United States
5,2000-01-19,The Prototype vs Smelly,The Prototype,Smelly,Win,Exhibition,UPW,Singles,No Stipulation,UPW Entertainment Overload,UPW Entertainment Overload,Non-Televised,No,No,No Championship,No Championship,No,The Roxy,West Hollywood,California,United States
6,2000-01-27,Mike Bell vs The Prototype,Mike Bell,The Prototype,Loss,Exhibition,UPW,Singles,No Stipulation,UPW Entertainment Overload,UPW Entertainment Overload,Non-Televised,No,No,No Championship,No Championship,No,Galaxy Theatre,Santa Ana,California,United States
7,2000-02-19,The Prototype vs Navajo Warrior,The Prototype,Navajo Warrior,Win,Exhibition,PWA,Singles,No Stipulation,PWA,PWA,Non-Televised,No,No,No Championship,No Championship,No,Lancaster,Lancaster,California,United States
8,2000-03-17,The Prototype vs Navajo Warrior,The Prototype,Navajo Warrior,Win,Exhibition,Wrestling in the USA,Singles,No Stipulation,Wrestling In The USA - Freelance Shows,Wrestling In The USA - Freelance Shows,Non-Televised,No,No,No Championship,No Championship,No,Vernal,Vernal,Utah,United States
9,2000-04-27,The Prototype vs Frankie Kazarian,The Prototype,Frankie Kazarian,Win,UPW Heavyweight Championship,NECW,Singles,No Stipulation,NECW,NECW,Non-Televised,Yes,No,UPW Heavyweight Championship,No Championship,Yes,Good Time Emporium,Somerville,Massachusetts,United States
10,2000-05-24,Smelly vs The Prototype,Smelly,The Prototype,Loss,UPW Heavyweight Championship,UPW,Singles,No Stipulation,UPW Internet Invasion,UPW Internet Invasion,Non-Televised,No,Yes,UPW Heavyweight Championship,No Championship,Yes,Galaxy Theatre,Santa Ana,California,United States
11,2000-07-23,Bad Boy Basil & Prototype vs El Genio & El Mariachi Loco,Bad Boy Basil & Prototype,El Genio & El Mariachi Loco,Win,Exhibition,WPW,2 vs 2 Tag Team,No Stipulation,WPW,WPW,Non-Televised,No,No,No Championship,No Championship,No,Anaheim,Anaheim,California,United States
12,2000-08-23,The Prototype vs Crash Holly,The Prototype,Crash Holly,Win,Exhibition,UPW,Singles,No Stipulation,UPW Showdown,UPW Showdown,Non-Televised,No,No,No Championship,No Championship,No,Galaxy Theatre,Santa Ana,California,United States
13,2000-09-13,The Prototype vs Bad Boy Basil,The Prototype,Bad Boy Basil,Win,Exhibition,UPW,Singles,No Stipulation,UPW Truth Or Consequences,UPW Truth Or Consequences,Non-Televised,No,No,No Championship,No Championship,No,Santa Ana,Santa Ana,California,United States
14,2000-10-10,Mikey Henderson vs Prototype,Mikey Henderson,Prototype,Loss,Exhibition,WWF,Singles,No Stipulation,WWF Sunday Night Heat,WWF Sunday Night Heat,Non-Televised,No,No,No Championship,No Championship,No,Staples Center,Los Angeles,California,United States
15,2000-10-10,Prototype vs Andy Judge,Prototype,Andy Judge,Win,Exhibition,UPW,Singles,No Stipulation,UPW Pride And Punishment,UPW Pride And Punishment,Non-Televised,No,No,No Championship,No Championship,No,Galaxy Theatre,Santa Ana,California,United States
16,2000-11-15,The Navajo Warrior vs The Prototype,The Navajo Warrior,The Prototype,Loss,Exhibition,AWF,Singles,No Stipulation,AWF,AWF,Non-Televised,No,No,No Championship,No Championship,No,Pinon,Pinon,Arizona,United States
17,2000-11-16,The Navajo Warrior vs The Prototype,The Navajo Warrior,The Prototype,Loss,Exhibition,AWF,Singles,No Stipulation,AWF,AWF,Non-Televised,No,No,No Championship,No Championship,No,Crownpoint,Crownpoint,New Mexico,United States
18,2000-11-18,The Navajo Warrior vs The Prototype,The Navajo Warrior,The Prototype,Loss,Exhibition,AWF,Singles,No Stipulation,AWF,AWF,Non-Televised,No,No,No Championship,No Championship,No,Winslow,Winslow,Arizona,United States
19,2000-12-20,Prototype vs Chase Tatum,Prototype,Chase Tatum,Win,Exhibition,UPW,Singles,No Stipulation,UPW Proving Ground,UPW Proving Ground,Non-Televised,No,No,No Championship,No Championship,No,Galaxy Theatre,Santa Ana,California,United States
20,2001-01-09,Prototype vs Aaron Aguilera,Prototype,Aaron Aguilera,Win,Exhibition,WWF,Singles,No Stipulation,WWF Sunday Night Heat,WWF Sunday Night Heat,Non-Televised,No,No,No Championship,No Championship,No,Oakland Arena,Oakland,California,United States
21,2001-02-17,"Team UPW (Billy D, Frankie Kazarian & Prototype) vs Team APW (Peter Snott, Sean Patrick O'Doul & Seymour Snott)","Team UPW (Billy D, Frankie Kazarian & Prototype)","Team APW (Peter Snott, Sean Patrick O'Doul & Seymour Snott)",Win,Exhibition,APW,3 vs 3 Tag Team,No Stipulation,APW Mardi Gras Mayhem,APW Mardi Gras Mayhem,Non-Televised,No,No,No Championship,No Championship,No,Vallejo,Vallejo,California,United States
22,2001-02-21,Keiji Sakoda vs Prototype,Keiji Sakoda,Prototype,Loss,Exhibition,UPW,Singles,No Stipulation,UPW Warzone,UPW Warzone,Non-Televised,No,No,No Championship,No Championship,No,Galaxy Theatre,Santa Ana,California,United States
23,2001-02-26,Prototype vs The Hardkore Kidd,Prototype,The Hardkore Kidd,Win,Exhibition,WWF,Singles,No Stipulation,WWF RAW is WAR,WWF RAW is WAR,Non-Televised,No,No,No Championship,No Championship,No,America West Arena,Phoenix,Arizona,United States
24,2001-02-27,The Hardkore Kidd vs Prototype,The Hardkore Kidd,Prototype,Loss,Exhibition,WWF,Singles,No Stipulation,WWF Sunday Night Heat,WWF Sunday Night Heat,Non-Televised,No,No,No Championship,No Championship,No,Tucson Convention Center,Tucson,Arizona,United States
25,2001-03-13,Prototype vs Mikey Henderson,Prototype,Mikey Henderson,Win,Exhibition,WWF,Singles,No Stipulation,WWF Sunday Night Heat,WWF Sunday Night Heat,Non-Televised,No,No,No Championship,No Championship,No,Arrowhead Pond,Anaheim,California,United States
26,2001-03-14,Prototype vs CW Anderson,Prototype,CW Anderson,Win,Exhibition,UPW,Singles,No Stipulation,UPW When Worlds Collide,UPW When Worlds Collide,Non-Televised,No,No,No Championship,No Championship,No,Galaxy Theatre,Santa Ana,California,United States
27,2001-04-09,Prototype vs Chris Chetti,Prototype,Chris Chetti,Win,Exhibition,WWF,Singles,No Stipulation,WWF Jakked,WWF Jakked,Non-Televised,No,No,No Championship,No Championship,No,FleetCenter,Boston,Massachusetts,United States
28,2001-04-10,Prototype vs Devon Storm,Prototype,Devon Storm,Win,Exhibition,WWF,Singles,No Stipulation,WWF SmackDown,WWF SmackDown,Non-Televised,No,No,No Championship,No Championship,No,First Union Center,Philadelphia,Pennsylvania,United States
29,2001-04-14,"Team UPW (Frankie Kazarian, Keiji Sakoda & Prototype) vs Team APW (Donovan Morgan, Maxx Justice & Vincenzo Massaro)","Team UPW (Frankie Kazarian, Keiji Sakoda & Prototype)","Team APW (Donovan Morgan, Maxx Justice & Vincenzo Massaro)",Win,Exhibition,APW,3 vs 3 Tag Team,No Stipulation,APW Only In California,APW Only In California,Non-Televised,No,No,No Championship,No Championship,No,Vallejo,Vallejo,California,United States
30,2001-06-27,Mark Henry & The Big Show vs Mr. Black & Prototype,Mark Henry & The Big Show,Mr. Black & Prototype,Loss,Exhibition,NWA,2 vs 2 Tag Team,No Stipulation,NWA OVW Last Dance,NWA OVW Last Dance,Non-Televised,No,No,No Championship,No Championship,No,Louisville Gardens,Louisville,Kentucky,United States
31,2001-07-24,Shark Boy vs Prototype,Shark Boy,Prototype,Loss,Exhibition,HWA,Singles,No Stipulation,HWA,HWA,Non-Televised,No,No,No Championship,No Championship,No,Cincinnati,Cincinnati,Ohio,United States
32,2001-07-28,Prototype & Rico Costantino vs Bobby Eaton & Randy Orton,Prototype & Rico Costantino,Bobby Eaton & Randy Orton,Win,Exhibition,NWA,2 vs 2 Tag Team,No Stipulation,NWA OVW,NWA OVW,Non-Televised,No,No,No Championship,No Championship,No,Jeffersonville,Jeffersonville,Indiana,United States
33,2001-08-04,"Ice Cream Man, Nigel McGuinness & Time Bomb vs Chet Jablonski, Dean Jablonski & The Prototype","Ice Cream Man, Nigel McGuinness & Time Bomb","Chet Jablonski, Dean Jablonski & The Prototype",Loss,Exhibition,HWA,3 vs 3 Tag Team,No Stipulation,HWA Red Barn Extravaganza,HWA Red Barn Extravaganza,Non-Televised,No,No,No Championship,No Championship,No,Red Barn Flea Market,Batavia,Ohio,United States
34,2001-08-09,Randy Orton vs Prototype,Randy Orton,Prototype,Loss,Exhibition,HWA,Singles,No Stipulation,4th Annual Brian Pillman Memorial Show,4th Annual Brian Pillman Memorial Show,Non-Televised,No,No,No Championship,No Championship,No,Oak Hills High School,Oak Hill,Ohio,United States
35,2001-08-15,"Jerome Crony, Prototype & Rico Costantino vs The Disciples Of Synn (Damien & Payne) & Connie Swail","Jerome Crony, Prototype & Rico Costantino",The Disciples Of Synn (Damien & Payne) & Connie Swail,Win,OVW Southern Tag Team Champion,NWA,3 vs 3 Tag Team,No Stipulation,NWA OVW TV,NWA OVW TV,Televised,Yes,No,No Championship,OVW Southern Tag Team Champion,Yes,Davis Arena,Louisville,Kentucky,United States
36,2001-08-22,Damaja & Rob Conway vs Prototype & Rico Costantino,Damaja & Rob Conway,Prototype & Rico Costantino,Loss,Exhibition,NWA,2 vs 2 Tag Team,No Stipulation,NWA OVW TV,NWA OVW TV,Televised,No,No,No Championship,OVW Southern Tag Team Champion,No,Davis Arena,Louisville,Kentucky,United States
37,2001-09-16,Prototype & Rico Costantino vs Chris Michaels & Sean Casey,Prototype & Rico Costantino,Chris Michaels & Sean Casey,Win,Exhibition,NWA,2 vs 2 Tag Team,No Stipulation,NWA OVW TV,NWA OVW TV,Televised,No,No,No Championship,OVW Southern Tag Team Champion,No,Davis Arena,Jeffersonville,Indiana,United States
38,2001-09-26,Prototype & Rico Costantino vs Damien & Payne,Prototype & Rico Costantino,Damien & Payne,Win,Exhibition,NWA,2 vs 2 Tag Team,No Stipulation,NWA OVW TV,NWA OVW TV,Televised,No,No,No Championship,OVW Southern Tag Team Champion,No,Davis Arena,Jeffersonville,Indiana,United States
39,2001-10-23,Damaja & Ron Waterman vs Prototype & Rico Costantino,Damaja & Ron Waterman,Prototype & Rico Costantino,Loss,Exhibition,OVW,2 vs 2 Tag Team,No Stipulation,OVW,OVW,Non-Televised,No,No,No Championship,OVW Southern Tag Team Champion,No,St. Therese's Gym,Louisville,Kentucky,United States
40,2001-10-27,Mark Henry & Randy Orton vs Prototype & Rico Costantino,Mark Henry & Randy Orton,Prototype & Rico Costantino,Loss,Exhibition,OVW,2 vs 2 Tag Team,No Stipulation,OVW,OVW,Non-Televised,No,No,No Championship,OVW Southern Tag Team Champion,No,Leitchfield,Leitchfield,Kentucky,United States
41,2001-10-28,"Leviathan, Prototype & Rico Costantino vs Damaja, Nick Dinsmore & Rob Conway","Leviathan, Prototype & Rico Costantino","Damaja, Nick Dinsmore & Rob Conway",Win,Exhibition,WWF,3 vs 3 Tag Team,No Stipulation,WWF House Show,WWF House Show,Non-Televised,No,No,No Championship,OVW Southern Tag Team Champion,No,Rupp Arena,Lexington,Kentucky,United States
42,2001-10-29,The Minnesota Stretching Crew (Brock Lesnar & Shelton Benjamin) vs Prototype & Rico Costantino,The Minnesota Stretching Crew (Brock Lesnar & Shelton Benjamin),Prototype & Rico Costantino,Loss,OVW Southern Tag Team Champion,WWF,2 vs 2 Tag Team,No Stipulation,WWF Jakked,WWF Jakked,Non-Televised,No,Yes,No Championship,OVW Southern Tag Team Champion,Yes,Freedom Hall,Louisville,Kentucky,United States
43,2001-11-07,Prototype vs Rico Costantino,Prototype,Rico Costantino,Win,Exhibition,OVW,Singles,No Stipulation,OVW TV,OVW TV,Televised,No,No,No Championship,No Championship,No,Davis Arena,Jeffersonville,Indiana,United States
44,2001-12-11,Prototype & Sean O'Haire vs Damaja & David Flair,Prototype & Sean O'Haire,Damaja & David Flair,Win,Exhibition,OVW,2 vs 2 Tag Team,No Stipulation,OVW,OVW,Non-Televised,No,No,No Championship,No Championship,No,Louisville,Louisville,Kentucky,United States
45,2001-12-12,Prototype vs Rob Conway,Prototype,Rob Conway,Win,Exhibition,OVW,Singles,No Stipulation,OVW TV,OVW TV,Televised,No,No,No Championship,No Championship,No,Davis Arena,Jeffersonville,Indiana,United States
46,2002-01-16,Prototype vs. Randy Orton,No Contest,No Contest,No Contest,Exhibition,OVW,Singles,No Stipulation,OVW TV,OVW TV,Televised,No,No,No Championship,No Championship,No,Davis Arena,Louisville,Kentucky,United States
47,2002-01-23,Prototype vs Mr. California,Prototype,Mr. California,Win,Exhibition,OVW,Singles,No Stipulation,OVW TV,OVW TV,Televised,No,No,No Championship,No Championship,No,Davis Arena,Louisville,Kentucky,United States
48,2002-01-24,Nick Dinsmore & Rob Conway vs Prototype & Sean O'Haire,Nick Dinsmore & Rob Conway,Prototype & Sean O'Haire,Loss,Exhibition,OVW,2 vs 2 Tag Team,No Stipulation,OVW,OVW,Non-Televised,No,No,No Championship,No Championship,No,Muncie,Muncie,Indiana,United States
49,2002-01-30,Prototype vs Ron Waterman,Prototype,Ron Waterman,Win,Exhibition,OVW,Singles,No Stipulation,OVW TV,OVW TV,Televised,No,No,No Championship,No Championship,No,Davis Arena,Louisville,Kentucky,United States
50,2002-02-13,David Flair vs Prototype,David Flair,Prototype,Loss,Exhibition,OVW,Singles,No Stipulation,OVW TV,OVW TV,Televised,No,No,No Championship,No Championship,No,Davis Arena,Louisville,Kentucky,United States
51,2002-02-20,Prototype vs Leviathan,Prototype,Leviathan,Win,Exhibition,OVW,Singles,No Stipulation,OVW TV,OVW TV,Televised,Yes,No,OVW Heavyweight Champion,No Championship,No,Davis Arena,Louisville,Kentucky,United States
52,2002-03-02,Leviathan vs Prototype,Leviathan,Prototype,Loss,Exhibition,OVW,Singles,No Stipulation,OVW House Show,OVW House Show,Non-Televised,No,No,OVW Heavyweight Champion,No Championship,No,Indianapolis,Indianapolis,Indiana,United States
53,2002-03-06,Mark Jindrak vs Prototype,Mark Jindrak,Prototype,Loss,Exhibition,OVW,Singles,No Stipulation,OVW TV,OVW TV,Televised,No,No,OVW Heavyweight Champion,No Championship,No,Davis Arena,Louisville,Kentucky,United States
54,2002-03-20,David Flair vs Prototype,David Flair,Prototype,Loss,Exhibition,OVW,Singles,No Stipulation,OVW TV,OVW TV,Televised,No,No,OVW Heavyweight Champion,No Championship,No,Davis Arena,Louisville,Kentucky,United States
55,2002-03-27,Prototype & Sean O'Haire vs Jerome Crony & Mr. Black,Prototype & Sean O'Haire,Jerome Crony & Mr. Black,Win,Exhibition,OVW,2 vs 2 Tag Team,No Stipulation,OVW TV,OVW TV,Televised,No,No,OVW Heavyweight Champion,No Championship,No,Davis Arena,Louisville,Kentucky,United States
56,2002-04-03,Prototype vs Flash,Prototype,Flash,Win,Exhibition,OVW,Singles,No Stipulation,OVW TV,OVW TV,Televised,No,No,OVW Heavyweight Champion,No Championship,No,Davis Arena,Louisville,Kentucky,United States
57,2002-04-05,David Flair & Ric Flair vs Prototype & Sean O'Haire,David Flair & Ric Flair,Prototype & Sean O'Haire,Loss,Exhibition,OVW,2 vs 2 Tag Team,No Stipulation,OVW Spring Breakout 2002,OVW Spring Breakout,Non-Televised,No,No,OVW Heavyweight Champion,No Championship,No,Paramarx Arena,Louisville,Kentucky,United States
58,2002-05-01,Prototype & Sean O'Haire vs The Lords Of The Ring (Nick Dinsmore & Rob Conway),Prototype & Sean O'Haire,The Lords Of The Ring (Nick Dinsmore & Rob Conway),Win,Exhibition,OVW,2 vs 2 Tag Team,No Stipulation,OVW TV,OVW TV,Televised,No,No,OVW Heavyweight Champion,No Championship,No,Davis Arena,Louisville,Kentucky,United States
59,2002-05-11,Prototype vs Leviathan,Prototype,Leviathan,Win,Exhibition,OVW,Singles,No Stipulation,OVW,OVW,Non-Televised,No,No,OVW Heavyweight Champion,No Championship,No,Bullitt East High School,Mount Washington,Kentucky,United States
60,2002-05-15,Nova vs Prototype,Nova,Prototype,Loss,Exhibition,OVW,Singles,No Stipulation,OVW TV,OVW TV,Televised,No,Yes,OVW Heavyweight Champion,No Championship,No,Davis Arena,Louisville,Kentucky,United States
61,2002-05-22,Prototype vs Chris Kanyon,Prototype,Chris Kanyon,Win,Exhibition,OVW,Singles,No Stipulation,OVW TV,OVW TV,Televised,No,No,No Championship,No Championship,No,Davis Arena,Louisville,Kentucky,United States
62,2002-05-31,Nova vs Prototype,Nova,Prototype,Loss,Exhibition,OVW,Singles,No Stipulation,OVW Six Flags Summer Sizzler Series,OVW Six Flags Summer Sizzler Series,Non-Televised,No,No,No Championship,No Championship,No,Paramarx Arena,Louisville,Kentucky,United States
63,2002-06-02,Shelton Benjamin vs Prototype,Shelton Benjamin,Prototype,Loss,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,The Arena,New Orleans,Louisiana,United States
64,2002-06-03,Shelton Benjamin vs Prototype,Shelton Benjamin,Prototype,Loss,Exhibition,WWE,Singles,No Stipulation,WWE Sunday Night Heat,WWE Sunday Night Heat,Non-Televised,No,No,No Championship,No Championship,No,American Airlines Center,Dallas,Texas,United States
65,2002-06-04,Albert vs Prototype,Albert,Prototype,Loss,Exhibition,WWE,Singles,No Stipulation,WWE Velocity,WWE Velocity,Non-Televised,No,No,No Championship,No Championship,No,Cox Convention Center,Oklahoma City,Oklahoma,United States
66,2002-06-07,Prototype vs Crash,Prototype,Crash,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Rupp Arena,Lexington,Kentucky,United States
67,2002-06-08,Prototype vs Crash,Prototype,Crash,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Thompson-Boling Arena At Food City Center,Knoxville,Tennessee,United States
68,2002-06-09,Prototype vs Crash,Prototype,Crash,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Civic Center,Columbus,Georgia,United States
69,2002-06-10,Prototype vs Scott Vick,Prototype,Scott Vick,Win,Exhibition,WWE,Singles,No Stipulation,WWE Sunday Night Heat,WWE Sunday Night Heat,Non-Televised,No,No,No Championship,No Championship,No,Philips Arena,Atlanta,Georgia,United States
70,2002-06-14,Jerry Lawler & Nova vs Prototype & Sean O'Haire,Jerry Lawler & Nova,Prototype & Sean O'Haire,Loss,Exhibition,OVW,2 vs 2 Tag Team,No Stipulation,OVW Six Flags Summer Sizzler Series,OVW Six Flags Summer Sizzler Series,Non-Televised,No,No,No Championship,No Championship,No,Paramarx Arena,Louisville,Kentucky,United States
71,2002-06-15,Shelton Benjamin vs Prototype,Shelton Benjamin,Prototype,Loss,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Sports Arena,San Diego,California,United States
72,2002-06-16,Shelton Benjamin vs Prototype,Shelton Benjamin,Prototype,Loss,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Centennial Garden Arena,Bakersfield,California,United States
73,2002-06-17,Shelton Benjamin vs Prototype,Shelton Benjamin,Prototype,Loss,Exhibition,WWE,Singles,No Stipulation,WWE Sunday Night Heat (International Version),WWE Sunday Night Heat,Non-Televised,No,No,No Championship,No Championship,No,Oakland Arena,Oakland,California,United States
74,2002-06-18,Prototype vs Shelton Benjamin,Prototype,Shelton Benjamin,Win,Exhibition,WWE,Singles,No Stipulation,WWE Velocity,WWE Velocity,Non-Televised,No,No,No Championship,No Championship,No,ARCO Arena,Sacramento,California,United States
75,2002-06-22,Tommy Dreamer vs Prototype,Tommy Dreamer,Prototype,Loss,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,U.S. Bank Arena,Cincinnati,Ohio,United States
76,2002-06-24,Albert & Christian vs Prototype & Rob Conway,Albert & Christian,Prototype & Rob Conway,Loss,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE SmackDown House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Mark Of The Quad,Moline,Illinois,United States
77,2002-06-25,Kurt Angle vs John Cena,Kurt Angle,John Cena,Loss,Exhibition,WWE,Singles,No Stipulation,WWE SmackDown,WWE SmackDown,Televised,No,No,No Championship,No Championship,No,Allstate Arena,Rosemont,Illinois,United States
78,2002-06-28,Jerry Lawler & Nova vs Prototype & Sean O'Haire,Jerry Lawler & Nova,Prototype & Sean O'Haire,Loss,Exhibition,OVW,2 vs 2 Tag Team,No Stipulation,OVW Six Flags Summer Sizzler Series,OVW Six Flags Summer Sizzler Series,Non-Televised,No,No,No Championship,No Championship,No,Paramarx Arena,Louisville,Kentucky,United States
79,2002-06-29,John Cena vs Albert,John Cena,Albert,Win,Exhibition,WWE,Singles,No Stipulation,WWE SmackDown House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Civic Center,Providence,Rhode Island,United States
80,2002-06-30,John Cena vs Christian,John Cena,Christian,Win,Exhibition,WWE,Singles,No Stipulation,WWE SmackDown House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Civic Center,Augusta,Maine,United States
81,2002-07-01,Christian & Lance Storm vs John Cena & Steve Bradley,Christian & Lance Storm,John Cena & Steve Bradley,Loss,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE SmackDown House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Civic Center,Portland,Maine,United States
82,2002-07-02,Chris Jericho vs John Cena,Chris Jericho,John Cena,Loss,Exhibition,WWE,Singles,No Stipulation,WWE SmackDown,WWE SmackDown,Televised,No,No,No Championship,No Championship,No,FleetCenter,Boston,Massachusetts,United States
83,2002-07-09,John Cena & The Undertaker vs Chris Jericho & Kurt Angle,John Cena & The Undertaker,Chris Jericho & Kurt Angle,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE SmackDown,WWE SmackDown,Televised,No,No,No Championship,No Championship,No,Boardwalk Hall,Atlantic City,New Jersey,United States
84,2002-07-12,Prototype vs Chris Kanyon,Prototype,Chris Kanyon,Win,Exhibition,OVW,Singles,No Stipulation,OVW Six Flags Summer Sizzler Series,OVW Six Flags Summer Sizzler Series,Non-Televised,No,No,No Championship,No Championship,No,Paramarx Arena,Louisville,Kentucky,United States
85,2002-07-13,Albert vs John Cena,Albert,John Cena,Loss,Exhibition,WWE,Singles,No Stipulation,WWE SmackDown House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Corel Centre,Ottawa,Ontario,Canada
86,2002-07-14,John Cena vs Albert,John Cena,Albert,Win,Exhibition,WWE,Singles,No Stipulation,WWE SmackDown House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Mile One Stadium,St. John's,Newfoundland,Canada
87,2002-07-15,Chris Jericho vs John Cena,Chris Jericho,John Cena,Loss,Exhibition,WWE,Singles,No Stipulation,WWE SmackDown House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Binghamton,Binghamton,New York,United States
88,2002-07-16,John Cena vs Chris Jericho,John Cena,Chris Jericho,Win,Exhibition,WWE,Singles,No Stipulation,WWE SmackDown,WWE SmackDown,Televised,No,No,No Championship,No Championship,No,First Union Arena At Casey Plaza,Wilkes-Barre,Pennsylvania,United States
89,2002-07-19,Nova vs Prototype,Nova,Prototype,Loss,Exhibition,OVW,Singles,No Stipulation,OVW Six Flag Summer Sizzler Series,OVW Six Flags Summer Sizzler Series,Non-Televised,No,No,No Championship,No Championship,No,Paramarx Arena,Louisville,Kentucky,United States
90,2002-07-20,John Cena vs Chris Jericho,John Cena,Chris Jericho,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW/SmackDown Supershow,WWE RAW/SmackDown Supershow,Non-Televised,No,No,No Championship,No Championship,No,Sarina,Sarnia,Ontario,Canada
91,2002-07-21,John Cena vs Chris Jericho,John Cena,Chris Jericho,Win,Exhibition,WWE,Singles,No Stipulation,WWE Vengeance 2002,WWE Vengeance,PPV/PLE,No,No,No Championship,No Championship,No,Joe Louis Arena,Detroit,Michigan,United States
92,2002-07-22,John Cena vs Test,John Cena,Test,Win,Exhibition,WWE,Singles,No Stipulation,WWE SmackDown House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,IMA Sports Arena,Flint,Michigan,United States
93,2002-07-23,John Cena vs Test,John Cena,Test,Win,Exhibition,WWE,Singles,No Stipulation,WWE SmackDown,WWE SmackDown,Televised,No,No,No Championship,No Championship,No,Conseco Fieldhouse,Indianapolis,Indiana,United States
94,2002-07-27,Edge & John Cena vs Chris Jericho & Kurt Angle,Edge & John Cena,Chris Jericho & Kurt Angle,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE SmackDown House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Convocation Center,Jonesboro,Arkansas,United States
95,2002-07-28,John Cena vs Albert,John Cena,Albert,Win,Exhibition,WWE,Singles,No Stipulation,WWE SmackDown House Show,WWE House Show,Non-Televised,No,No,No Championship,No Championship,No,Alltel Arena,North Little Rock,Arkansas,United States
96,2002-07-30,John Cena vs Rico,John Cena,Rico,Win,Exhibition,WWE,Singles,No Stipulation,WWE SmackDown,WWE SmackDown,Televised,No,No,No Championship,No Championship,No,Charlotte Coliseum,Charlotte,North Carolina,United States
98,2002-08-06,"Edge, John Cena & Rey Mysterio vs Chris Benoit, Eddie Guerrero & Kurt Angle","Edge, John Cena & Rey Mysterio","Chris Benoit, Eddie Guerrero & Kurt Angle",Win,Exhibition,WWE,3 vs 3 Tag Team,No Stipulation,WWE SmackDown,WWE SmackDown,Televised,No,No,No Championship,No Championship,No,Richmond Coliseum,Richmond,Virginia,United States
